course_code,title,dept_code,credits,pre_reqs,core_area,inquiry_area,recommendation
BIOL 181,"Evolution, Ecology, and Diversity",BIOL,3,False,False,Natural Sciences & Mathematics,False
BIOL 181L,"Evolution, Ecology, and Diversity Lab",BIOL,1,False,False,Natural Sciences & Mathematics,False
ALST 202,Introduction to African American Studies,ENGL,3,False,False,False,False
ARTS 100,Introduction to Studio Art (SA),ARTS,3,False,False,Human Thought and Expression,False
ALST 203,The Caribbean,ENGL,3,False,False,"Social Relations,Inst.& Agents",False
BIOL 182,"Molecules, Cells, and Genes",BIOL,3,CHEM 101 or CHEM 111,False,Natural Sciences & Mathematics,False
BIOL 182L,"Molecules, Cells, and Genes Lab",BIOL,1,False,False,Natural Sciences & Mathematics,False
ALST 220,The Black Diaspora: Africans at Home and Abroad,ENGL,3,False,Global Engagements,False,False
ALST 290,Model African Union,ENGL,2,False,False,False,False
ARTS 105,Introduction to Architecture in Cultural Context (AH),ARTS,3,False,False,Human Thought and Expression,False
BIOL 203,Ecology,BIOL,3,(BIOL 181 or BIOL 211) and (BIOL 182 or BIOL 212),False,Natural Sciences & Mathematics,False
ALST 324,Black Music: U.S. Inquiry,ENGL,3,False,False,"Social Relations,Inst.& Agents",False
BIOL 203L,Ecology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
BIOL 204,Molecular Biology,BIOL,3,BIOL 181 and BIOL 182,False,Natural Sciences & Mathematics,False
BIOL 204L,Molecular Biology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
ARTS 107,What is Modern Art?: Asia,ARTS,3,False,False,Human Thought and Expression,False
EDUC 324,Black Music: U.S. Inquiry,EDUC,3,EDUC 101 or ALST 202 or FSEM 182,False,"Social Relations,Inst.& Agents",False
BIOL 313,Microbiology,BIOL,3,BIOL 182,False,Natural Sciences & Mathematics,False
BIOL 313L,Microbiology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
ARTS 202,Digital Studio: Distribution and Intervention (SA),ARTS,3,ARTS 100 or FSEM 160,False,Human Thought and Expression,Previous programing experience is helpful but not necessary
ALST 327,Dictator/Democr in Caribbean,ENGL,3,False,False,"Social Relations,Inst.& Agents",False
ARTS 211,Drawing (SA),ARTS,3,ARTS 100 or FSEM 160,False,Human Thought and Expression,False
ARTS 220,Early Modern European Architecture (AH),ARTS,3,False,False,Human Thought and Expression,Recommended for students wishing to prepare for advanced studies in architecture.
ARTS 222,Video Art: Image Recycling,ARTS,3,ARTS 100 or FSEM 160 or FMST 200,False,Human Thought and Expression,False
ALST 330,Race and Crime,ENGL,3,(SOCI 201 or SOAN 204) or (SOCI 250 or SOAN 210) or ALST 202,Global Engagements,"Social Relations,Inst.& Agents",False
ARTS 231,Painting (SA),ARTS,3,ARTS 100 or FSEM 160,False,Human Thought and Expression,False
SOCI 330,Race and Crime,SOAN,3,(SOCI 201 or SOAN 204) or (SOCI 250 or SOAN 210) or ALST 202,Global Engagements,"Social Relations,Inst.& Agents",False
